Longitude,Latitude,trees,greenery,buidling footpring,roads,paving,SUM_AsthmaHospitalizationsAdults_AverageAnnual,Total_Population,SUM_WeightedMHI,MEAN_heightroof,SUM_Volume,RegressionTree_pm,SVM_pm
-73.92816978,40.86505589,82841.748,11023.496,97913.156,52448.968,62738.456,8,6549.385779,52212.89086,46.3099272,32133817.63,12.48889753,10.08789776
,,,,,,,,,,,,,
-73.92558294,40.86613804,55248.732,8905.072,111078.484,54937.74,79553.76,11,6274.169057,50432.33871,48.65530115,45798312.31,12.48889753,10.45732485
,,,,,,,,,,,,,
-73.92290117,40.8670989,54411.06,10541.124,114819.584,52637.904,77544.852,11,6216.156599,50056.86944,54.82829509,51222666.4,12.48889753,10.60659384
,,,,,,,,,,,,,
-73.92018495,40.86799857,66068.244,25054.92,90047.232,55038.06,70748.172,11,6075.220511,49142.25806,51.75339019,37013374.03,12.48889753,10.21844456
,,,,,,,,,,,,,
-73.91749909,40.86894128,57059.508,17953.1,105100.248,54487.972,75214.084,12,6304.163509,50628,51.6684493,41037698.49,12.48889753,10.32734075
,,,,,,,,,,,,,
-73.91522033,40.87036817,27082.22,26599.848,95411.008,57942.324,102116.564,10,5498.045869,45396.64184,39.07087157,38668248.93,12.48889753,10.26310219
,,,,,,,,,,,,,
-73.91306075,40.87189642,18512.384,28231.72,64352.772,46055.24,85088.08,6,3407.299715,30767.13133,37.10030464,19119842.26,12.48889753,9.750088814
,,,,,,,,,,,,,
-73.90680638,40.87660207,60248.012,26195.224,67526.228,69669.732,86313.656,7,4278.869645,61730.1498,55.65950257,29012792.88,12.48889753,10.0053963
,,,,,,,,,,,,,
-73.90898221,40.87528022,57022.724,28105.484,74953.252,49937.624,67241.152,10,5693.568155,50689.32588,43.84721056,33172429.3,12.48889753,10.11553281
,,,,,,,,,,,,,
-73.90516841,40.87839271,38898.244,15552.944,92694.008,72364.16,90311.408,5,3163.103652,66040.52458,42.41375607,33449232.59,12.48889753,10.12291264
,,,,,,,,,,,,,
-73.90376822,40.88037726,43446.084,22610.456,94392.76,63974.064,85006.152,5,3123.325069,66216.42281,36.26,26586172.85,12.48889753,9.941854048
,,,,,,,,,,,,,
-73.90236565,40.88236074,56399.904,24130.304,80315.356,62443.348,86007.68,4,3051.856238,67701.89459,26.36767173,17107545.54,10.13865037,9.69947351
,,,,,,,,,,,,,
-73.90104622,40.88437634,55219.472,22495.088,71995.484,63794.324,96139.164,4,2971.456246,69373.00296,29.84431594,20305322.9,10.13865037,9.780130331
,,,,,,,,,,,,,
